No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,備考,入力者,入庫日,下代(数値)
70,FALSE,Pt900,リング,ダイヤ,0.5,03B-169-50,"210,000",102943,0.18ct,,,河野,2022/03/14,OPA1-1-240
71,FALSE,Pt900,リング,ダイヤ,0.5,04B-149-50,"210,000",104047,0.02ct,,,fujita,2025/04/16,OPA1-1-240
72,FALSE,Pt900,リング,ダイヤ,0.5,03B-392-50,"220,000",20232,0.13ct,,,河野,2022/03/14,OPA1-1-260
73,FALSE,Pt900,リング,ダイヤ,0.5,03A-167-50,"220,000",104283,,,,nakajima,2025/01/16,OPA1-1-280
74,FALSE,Pt900,リング,ダイヤ,0.5,04A-427-50,"220,000",103941,,,,nakajima,2025/01/16,OPA1-1-260
75,FALSE,Pt900,リング,ダイヤ,0.5,04B-149-50,"230,000",103584,,,LGD 0.01ct,植田,2023/04/18,OPA1-1-280
76,FALSE,Pt900,リング,ダイヤ,0.5,03K-38-50,"240,000",20327,0.25ct,,,廣川,2021/10/05,OPA1-5-100
77,FALSE,Pt900,リング,ダイヤ,0.5,04B-153-50,"240,000",102981,0.18ct,,,nakayama,2023/04/05,OPA1-1-300
78,FALSE,Pt900,リング,ダイヤ,0.5,03B-276-50,"240,000",102966,0.15ct,,,tanaka,2024/01/04,OPA1-5-120
79,FALSE,Pt900,リング,ダイヤ,0.5,03A-109-50,"240,000",104736,,,,nakajima,2025/03/16,OPA1-5-130
80,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-1-50,"250,000",20315,0.09ct,,,fujita,2023/10/27,OPA1-5-140
81,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-4-50,"250,000",3029,0.17ct,,,坂井,2024/10/08,OPA1-5-150
82,FALSE,Pt900,リング,ダイヤ,0.5,04A-289-50,"250,000",104869,,,,nakajima,2025/03/16,OPA1-5-160
83,FALSE,Pt900,リング,ダイヤ,0.5,03B-95-50,"250,000",104054,0.12ct,,,fujita,2025/04/16,OPA1-5-200
84,FALSE,Pt900,リング,ダイヤ,0.5,03B-227-50,"260,000",103849,0.17ct,,,muro,2020/02/23,OPA1-5-220
85,FALSE,Pt900,リング,ダイヤ,0.5,03K-12-50,"260,000",103243,0.20ct,,,河野,2022/03/09,OPA1-5-240
86,FALSE,Pt900,リング,ダイヤ,0.5,03B-56-50,"270,000",0,0.35ct,,,小牧,2023/09/06,OPA1-5-260
87,FALSE,Pt900,リング,ダイヤ,0.5,03K-39-50,"270,000",20329,0.21ct,,,tanaka,2023/11/14,OPA1-5-280
88,FALSE,Pt900,リング,ダイヤ,0.5,03B-56-50,"270,000",20289,0.30ct,,,fujita,2025/05/28,OPA1-5-300
89,FALSE,Pt900,リング,ダイヤ,0.5,03B-X046-50,"270,000",103234,0.23ct,,,fujita,2025/05/28,OPA1-5-320
90,FALSE,Pt900,リング,ダイヤ,0.5,04B-196-50,"280,000",20239,0.19ct,,,kida,2017/03/17,OPA1-5-80
91,FALSE,Pt900,リング,ダイヤ,0.5,03B-214-50,"280,000",103188,0.20ct,,,山室,2022/10/08,OPA1-5-90
92,FALSE,Pt900,リング,ダイヤ,0.5,03K-37-50,"280,000",102511,0.35ct,,,植田,2023/07/10,OPA1-2-240
93,FALSE,Pt900,リング,ダイヤ,0.5,03B-X046-50,"280,000",102795,0.18ct,,,小牧,2023/09/06,OPA1-2-260
94,FALSE,Pt900,リング,ダイヤ,0.5,03B-291-50,"300,000",103387,0.22ct,,,吉野,2022/10/22,OPA1-2-280
95,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-3-50,"300,000",20315,0.20ct,,,fujita,2023/08/18,OPA1-2-300
96,FALSE,Pt900,リング,ダイヤ,0.5,03B-334-50,"300,000",103631,0.17ct,,,tanaka,2024/01/04,OPA1-2-340
97,FALSE,Pt900,リング,ダイヤ,0.5,DRB2-1-50,"310,000",404,0.19ct,,,fujita,2023/08/18,OPA1-2-360
98,FALSE,Pt900,リング,ダイヤ,0.5,03K-24-50,"359,000",103253,0.40ct,,,河野,2022/03/09,OPA1-3-200
99,FALSE,Pt900,リング,ダイヤ,0.5,04B-57-50,"380,000",104631,0.21ct,,,河野,2022/03/09,OPA1-3-260
100,FALSE,Pt900,リング,ダイヤ,0.5,04K-13-50,"380,000",104539,0.49ct,,,komaki,2022/04/04,OPA1-3-240
101,FALSE,Pt900,リング,ダイヤ,0.5,03B-153-50,"380,000",104775,0.25ct,,,河野,2022/06/22,OPA1-3-280
102,FALSE,Pt900,リング,ダイヤ,0.5,03K-40-50,"400,000",20281,0.56ct,,,KOUNO,2021/02/22,OPA1-3-300
103,FALSE,Pt900,リング,ダイヤ,0.5,03B-239-50,"420,000",103599,0.48ct,,,nakajima,2015/11/11,OPA1-3-320
104,FALSE,Pt900,リング,ダイヤ,0.5,04K-14-50,"440,000",104631,0.48ct,,,komaki,2022/05/27,OPA1-3-340
105,FALSE,Pt900,リング,ダイヤ,0.5,03K-35-50,"450,000",104259,0.40ct,,,小牧,2023/09/06,OPA1-3-360
106,FALSE,Pt900,リング,ダイヤ,0.5,DRK2-1-50,"450,000",20445,0.43ct,,,fujita,2023/10/27,OPB1-1-120
107,FALSE,Pt900,リング,ダイヤ,0.5,DSD-997,"1,800,000",30222,2.222ct,,,kida,2017/03/17,OPB1-1-130
108,FALSE,Pt900,リング,ダイヤ,0.6,stackable-solo-Round-6mm,"140,000",402,,,,komaki,2022/04/04,OPB1-1-140
109,FALSE,Pt900,リング,ダイヤ,0.6,stackable-solo-Flat-6mm,"150,000",3021,,,,fujita,2025/05/28,OPB1-1-150
110,FALSE,Pt900,リング,ダイヤ,0.65,DRA2-1-65,"125,000",20342,,,,fujita,2023/08/18,OPB1-1-160
111,FALSE,Pt900,リング,ダイヤ,0.7,DRA1-1-70,"115,000",20216,,,,fujita,2023/08/18,OPB1-1-180
112,FALSE,Pt900,リング,ダイヤ,0.7,DRA1-2-70,"115,000",3024,,,,fujita,2023/08/18,OPB1-1-200
113,FALSE,Pt900,リング,ダイヤ,0.7,DRA2-1-70,"130,000",20372,,,,fujita,2023/08/18,OPB1-1-220
114,FALSE,Pt900,リング,ダイヤ,0.7,DRA2-1-58*58,"150,000",20298,,,,fujita,2025/05/28,OPB1-1-240
115,FALSE,Pt900,リング,ダイヤ,0.7,Solitair8.8,"160,000",3025,,,SQ5.2mm,河野,2022/03/16,PPA1-2-80
116,FALSE,Pt900,リング,ダイヤ,0.7,Solitair8.8,"160,000",3025,,,SQ5.2mm,河野,2022/03/16,PTA1-A-30
117,FALSE,Pt900,リング,ダイヤ,0.7,Solitaire8.8,"160,000",3025,,,SQ5.2mm,fujita,2025/05/28,PTA1-B-30
118,FALSE,Pt900,リング,ダイヤ,0.7,03A-210-70,"200,000",104415,,,,muro,2020/02/23,PTA1-C-30
119,FALSE,Pt900,リング,ダイヤ,0.7,04A-459-70,"200,000",103835,,,,nakajima,2025/03/16,PTA1-D-30
120,FALSE,Pt900,リング,ダイヤ,0.7,04A-427-70,"230,000",104354,,,,furuya,2020/07/11,PTA1-E-30
121,FALSE,Pt900,リング,ダイヤ,0.7,DRA2-2-70,"230,000",3037,,,,tanaka,2023/05/25,PTA1-F-30
122,FALSE,Pt900,リング,ダイヤ,0.7,03A-109-70,"250,000",104723,,,,nakajima,2025/03/16,PTA1-G-30
123,FALSE,Pt900,リング,ダイヤ,0.7,03B-X074-70,"260,000",20265,0.12ct,,,小牧,2023/09/06,PTA1-H-30
124,FALSE,Pt900,リング,ダイヤ,0.7,03B-224-70,"280,000",103086,0.35ct,,,furuya,2020/07/11,PTA1-I-30
125,FALSE,Pt900,リング,ダイヤ,0.7,DRB1-4-70,"280,000",3026,0.26ct,,,shige,2024/09/13,PTA1-J-30
126,FALSE,Pt900,リング,ダイヤ,0.7,03K-38-70,"290,000",103297,0.33ct,,,竹内,2023/02/11,PTA1-L-30
127,FALSE,Pt900,リング,ダイヤ,0.7,04B-196-70,"292,000",103413,0.19ct,,,yoshida,2018/09/02,PTA1-M-30
128,FALSE,Pt900,リング,ダイヤ,0.7,03B-227-70,"320,000",104192,0.22ct,,,muro,2020/02/23,PTA1-O-30
129,FALSE,Pt900,リング,ダイヤ,0.7,03K-37-70,"320,000",20343,0.41ct,,,komaki,2022/04/04,PTA1-N-30
130,FALSE,Pt900,リング,ダイヤ,0.7,03B-285-70,"320,000",103405,0.33ct,,,fujita,2025/05/28,PTA1-P-30
131,FALSE,Pt900,リング,ダイヤ,0.7,03B-244-70,"330,000",106052,0.25ct,,,河野,2022/03/09,PTA1-Q-30
132,FALSE,Pt900,リング,ダイヤ,0.7,DRB1-4-70,"330,000",3034,0.25ct,,,shige,2024/09/12,PTA1-R-30
133,FALSE,Pt900,リング,ダイヤ,0.7,03K-33-70,"360,000",20265,0.34ct,,,tanaka,2023/11/14,PTA1-S-30
134,FALSE,Pt900,リング,ダイヤ,0.7,03B-83-70,"370,000",104272,0.43ct,,,norita,2019/11/21,PTA1-T-30
135,FALSE,Pt900,リング,ダイヤ,0.7,03A-164-70DSPaveblack,"390,000",3071,0.38ct,,Black=0.38ct/No.181250,不明,不明,PTA1-U-30
136,FALSE,Pt900,リング,ダイヤ,0.7,04K-13-70,"430,000",103979,0.41ct,,,KOUNO,2021/02/09,PTA1-V-30
137,FALSE,Pt900,リング,ダイヤ,0.7,DRK2-1-70,"440,000",20438,0.43ct,,,fujita,2023/03/08,PTA1-W-30
138,FALSE,Pt900,リング,ダイヤ,0.7,DRK2-1-70,"440,000",3043,0.40ct,,,fujita,2023/08/18,PTA1-X-30
139,FALSE,Pt900,リング,ダイヤ,0.7,04K-14-70,"450,000",104642,,,,komaki,2022/05/27,PTA1-Y-30
140,FALSE,Pt900,リング,ダイヤ,0.7,04B-57-70,"500,000",3061,0.24ct,,,muro,2018/01/23,PTA1-Z-30
141,FALSE,Pt900,リング,ダイヤ,0.8,DRA2-1-80,"130,000",20385,,,,fujita,2023/08/18,PPA1-3-90
142,FALSE,Pt900,リング,ダイヤ,0.8,03B-X074-70,"260,000",20265,0.12ct,,あいう,fujitaL,2025/06/23,
143,FALSE,Pt900,リング,ダイヤ,0.8,03B-224-70,"260,000",103086,0.35ct,,ABC,fujitaL,2025/06/23,
144,FALSE,Pt900,リング,ダイヤ,0.8,DRB1-4-70,"260,000",3026,,25cm,123,fujitaL,2025/06/23,
145,FALSE,Pt900,リング,ダイヤ,0.8,03K-38-70,"260,000",103297,,45cm,,fujitaL,2025/06/23,
146,FALSE,Pt900,リング,ダイヤ,0.8,R-dA002-70,"260,000",20265,0.12ct,,あいう,fujitaLM,2025/06/23,DRA1-2-70
147,FALSE,Pt900,リング,ダイヤ,0.8,R-dA002-100,"260,000",103086,0.35ct,,ABC,fujitaLM,2025/06/23,DRA1-2-100
148,FALSE,Pt900,リング,ダイヤ,0.8,R-dA003-20,"260,000",3026,,25cm,123,fujitaLM,2025/06/23,DRA2-1-20
149,FALSE,Pt900,リング,ダイヤ,0.8,R-dA003-30,"260,000",103297,,45cm,,fujitaLM,2025/06/23,DRA2-1-30
150,FALSE,Pt900,リング,ダイヤ,0.9,DRA2-1-90,"135,000",20408,,,,fujita,2023/08/18,PPA1-9-90
151,FALSE,Pt900,リング,ダイヤ,CT,DRA1-2-100,"121,000",3026,,,,fujita,2023/08/18,PPA1-1-80
152,FALSE,Pt900,リング,ダイヤ,CT,DRA1-1-100,"123,000",20243,,,,fujita,2023/08/18,PPA1-5-90
153,FALSE,Pt900,リング,ダイヤ,CT,03A-122-100,"140,000",102502,,,,河野,2022/03/09,PPA1-6-90
154,FALSE,Pt900,リング,ダイヤ,CT,DRA2-1-100,"140,000",20404,,,,fujita,2023/08/18,PPA1-7-90
155,FALSE,Pt900,リング,ダイヤ,CT,03A-170-100,"220,000",104264,,,,nakajima,2023/07/05,PPA0-2-90
156,FALSE,Pt900,リング,ダイヤ,CT,DRA2-3-100,"220,000",20365,,,,fujita,2023/11/01,PPA1-8-90
157,FALSE,Pt900,リング,ダイヤ,CT,04A-459-100,"220,000",104066,,,,fujita,2023/12/05,PPA0-1-90
158,FALSE,Pt900,リング,ダイヤ,CT,03A-210-100,"230,000",104658,,,,河野,2022/03/09,PPA0-3-90
159,FALSE,Pt900,リング,ダイヤ,CT,04A-387-100,"240,000",104252,,,,tanaka,2023/11/14,PPB1-1-110
160,FALSE,Pt900,リング,ダイヤ,CT,04A-427-100,"250,000",105154,,,,河野,2022/03/09,PPB1-1-70
161,FALSE,Pt900,リング,ダイヤ,CT,03B-214-100,"300,000",102913,0.30ct,,,河野,2022/03/09,PPB1-1-90
162,FALSE,Pt900,リング,ダイヤ,CT,04A-289-100,"300,000",105975,,,,nakajima,2025/01/16,DRA1-1-100
163,FALSE,Pt900,リング,ダイヤ,CT,03K-39-100,"320,000",20625,0.20ct,,,yoshida,2022/12/09,DRA1-1-30
164,FALSE,Pt900,リング,ダイヤ,CT,DRB2-1-100,"330,000",3043,0.19ct,,,fujita,2023/08/18,DRA1-1-50
165,FALSE,Pt900,リング,ダイヤ,CT,03A-201-150DSH,"340,000",20353,0.08ct,,,muro,2020/02/23,DRA1-1-70
166,FALSE,Pt900,リング,ダイヤ,CT,03B-334-100,"340,000",104316,0.20ct,,,tanaka,2024/01/04,DRA1-2-10
167,FALSE,Pt900,リング,ダイヤ,CT,03K-60-100,"350,000",104536,0.28ct,,,nakayama,2015/03/27,DRA1-2-100
168,FALSE,Pt900,リング,ダイヤ,CT,03B-227-100,"350,000",104643,0.20ct,,,kim,2018/11/19,DRA1-2-70
169,FALSE,Pt900,リング,ダイヤ,CT,03K-37-100,"350,000",102796,0.46ct,,,nakamura,2020/06/20,DRA1-2-30
170,FALSE,Pt900,リング,ダイヤ,CT,03B-263-100,"350,000",103295,0.39ct,,,KOUNO,2021/03/12,DRA1-2-50
171,FALSE,Pt900,リング,ダイヤ,CT,03B-227-100,"350,000",103877,0.23ct,,,河野,2022/03/09,DRA2-1-100
172,FALSE,Pt900,リング,ダイヤ,CT,03B-113-100,"350,000",106401,0.10ct,,,komaki,2022/04/04,DRA2-1-20
173,FALSE,Pt900,リング,ダイヤ,CT,03B-285-100,"350,000",3027,0.40ct,,,坂井,2024/10/08,DRA2-1-45
174,FALSE,Pt900,リング,ダイヤ,CT,03B-214-100,"370,000",103159,0.33ct,,,小牧,2023/09/06,DRA2-1-65
175,FALSE,Pt900,リング,ダイヤ,CT,03K-48-100,"390,000",107582,0.44ct,,,furuya,2020/07/11,DRA2-1-80
176,FALSE,Pt900,リング,ダイヤ,CT,03B-312-100,"400,000",104039,0.40ct,,,河野,2022/03/09,DRA2-2-70
