No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
70,FALSE,Pt900,リング,ダイヤ,0.5,DSD-997,"1,800,000",30222,2.222ct,,,kida,2017/03/17,"10,100"
71,FALSE,Pt900,リング,ダイヤ,0.5,Solitair6.6,"140,000",3012,,,SQ6.6mm,河野,2022/03/16,"4,800"
72,FALSE,Pt900,リング,ダイヤ,0.6,stackable-solo-Flat-6mm,"150,000",3021,,,,fujita,2025/05/28,"20,000"
73,FALSE,Pt900,リング,ダイヤ,0.6,stackable-solo-Round-6mm,"140,000",402,,,,komaki,2022/04/04,"12,500"
74,FALSE,Pt900,リング,ダイヤ,0.65,DRA2-1-65,"125,000",20342,,,,fujita,2023/08/18,"23,600"
75,FALSE,Pt900,リング,ダイヤ,0.7,03A-109-70,"250,000",104723,,,,nakajima,2025/03/16,"11,440"
76,FALSE,Pt900,リング,ダイヤ,0.7,03A-164-70DSPaveblack,"390,000",3071,0.38ct,,Black=0.38ct/No.181250,不明,不明,"11,440"
77,FALSE,Pt900,リング,ダイヤ,0.7,03A-210-70,"200,000",104415,,,,muro,2020/02/23,"11,500"
78,FALSE,Pt900,リング,ダイヤ,0.7,03B-224-70,"280,000",103086,0.35ct,,,furuya,2020/07/11,"9,830"
79,FALSE,Pt900,リング,ダイヤ,0.7,03B-227-70,"320,000",104192,0.22ct,,,muro,2020/02/23,"12,000"
80,FALSE,Pt900,リング,ダイヤ,0.7,03B-244-70,"330,000",106052,0.25ct,,,河野,2022/03/09,"11,440"
81,FALSE,Pt900,リング,ダイヤ,0.7,03B-285-70,"320,000",103405,0.33ct,,,fujita,2025/05/28,"15,200"
82,FALSE,Pt900,リング,ダイヤ,0.7,03B-83-70,"370,000",104272,0.43ct,,,norita,2019/11/21,"11,200"
83,FALSE,Pt900,リング,ダイヤ,0.7,03B-X074-70,"260,000",20265,0.12ct,,,小牧,2023/09/06,"12,000"
84,FALSE,Pt900,リング,ダイヤ,0.7,03K-33-70,"360,000",20265,0.34ct,,,tanaka,2023/11/14,"12,000"
85,FALSE,Pt900,リング,ダイヤ,0.7,03K-37-70,"320,000",20343,0.41ct,,,komaki,2022/04/04,"11,200"
86,FALSE,Pt900,リング,ダイヤ,0.7,03K-38-70,"290,000",103297,0.33ct,,,竹内,2023/02/11,"11,200"
87,FALSE,Pt900,リング,ダイヤ,0.7,04A-427-70,"230,000",104354,,,,furuya,2020/07/11,"11,000"
88,FALSE,Pt900,リング,ダイヤ,0.7,04A-459-70,"200,000",103835,,,,nakajima,2025/03/16,"12,000"
89,FALSE,Pt900,リング,ダイヤ,0.7,04B-196-70,"292,000",103413,0.19ct,,,yoshida,2018/09/02,"12,000"
90,FALSE,Pt900,リング,ダイヤ,0.7,04B-57-70,"500,000",3061,0.24ct,,,muro,2018/01/23,"11,200"
91,FALSE,Pt900,リング,ダイヤ,0.7,04K-13-70,"430,000",103979,0.41ct,,,KOUNO,2021/02/09,"10,300"
92,FALSE,Pt900,リング,ダイヤ,0.7,04K-14-70,"450,000",104642,,,,komaki,2022/05/27,"10,300"
93,FALSE,Pt900,リング,ダイヤ,0.7,DRA1-1-70,"115,000",20216,,,,fujita,2023/08/18,"29,000"
94,FALSE,Pt900,リング,ダイヤ,0.7,DRA1-2-70,"115,000",3024,,,,fujita,2023/08/18,"25,900"
95,FALSE,Pt900,リング,ダイヤ,0.7,DRA2-1-58*58,"150,000",20298,,,,fujita,2025/05/28,"49,800"
96,FALSE,Pt900,リング,ダイヤ,0.7,DRA2-1-70,"130,000",20372,,,,fujita,2023/08/18,"29,500"
97,FALSE,Pt900,リング,ダイヤ,0.7,DRA2-2-70,"230,000",3037,,,,tanaka,2023/05/25,"11,500"
98,FALSE,Pt900,リング,ダイヤ,0.7,DRB1-4-70,"280,000",3026,0.26ct,,,shige,2024/09/13,"9,600"
99,FALSE,Pt900,リング,ダイヤ,0.7,DRB1-4-70,"330,000",3034,0.25ct,,,shige,2024/09/12,"12,000"
100,FALSE,Pt900,リング,ダイヤ,0.7,DRK2-1-70,"440,000",20438,0.43ct,,,fujita,2023/03/08,"12,500"
101,FALSE,Pt900,リング,ダイヤ,0.7,DRK2-1-70,"440,000",3043,0.40ct,,,fujita,2023/08/18,"11,200"
102,FALSE,Pt900,リング,ダイヤ,0.7,Solitair8.8,"160,000",3025,,,SQ5.2mm,河野,2022/03/16,"13,000"
103,FALSE,Pt900,リング,ダイヤ,0.7,Solitair8.8,"160,000",3025,,,SQ5.2mm,河野,2022/03/16,"11,000"
104,FALSE,Pt900,リング,ダイヤ,0.7,Solitaire8.8,"160,000",3025,,,SQ5.2mm,fujita,2025/05/28,"13,000"
